Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D5.0mm_P2.50mm,2,C,
J1,PinHeader_1x06_P2.54mm_Vertical,1,port attiny,
J10,PinHeader_1x01_P2.54mm_Vertical,1,BMS Bat +,
J11,PinHeader_1x01_P2.54mm_Vertical,1,BMS Bat  gnd,
J12,PinHeader_1x01_P2.54mm_Vertical,1,BMS out -,
J13,PinHeader_1x01_P2.54mm_Vertical,1,BMS in +5v,
J14,PinHeader_1x01_P2.54mm_Vertical,1,BMS in gnd,
J15_C189893,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,1,BMS led charge ok,
J16,PinHeader_1x02_P2.54mm_Vertical,1,Mp3 D1 led marche ok,
J17,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,1,Haut parleur,
J18,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,1,Batterie + et -,
J19,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,1,BMS in + et -,
J2,PinHeader_1x03_P2.54mm_Vertical,1,alim attiny,
J20,PinSocket_1x02_P2.54mm_Vertical,1,BMS led charge ok,
J21,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,1,Vers bouton vol - et next,
J22_C189893,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,1,Mp3 D1 led marche ok,
J23-C189893,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,1,alim +5 gnd,
J3,PinHeader_1x03_P2.54mm_Vertical-mp3,1,alim mp3,
J4,PinHeader_1x03_P2.54mm_Vertical-mp3,1,hp mp3,
J5,PinHeader_1x02_P2.54mm_Vertical,1,vol - et next +,
J6,PinHeader_1x04_P2.54mm_Vertical-mp3,1,step up out,
J7,PinHeader_1x01_P2.54mm_Vertical,1,step up in +,
J8,PinHeader_1x01_P2.54mm_Vertical,1,step up in -,
J9,PinHeader_1x01_P2.54mm_Vertical,1,BMS out +,
"R1, R2",1206,2,4.7kΩ _C2907499,
