Designator,Mid X,Mid Y,Rotation,Layer
C1,101.25,-47.5,0.0,top
C2,99.0,-105.75,270.0,top
J1,88.9,-95.25,180.0,top
J10,90.805,-43.93,0.0,top
J11,90.805,-51.06,0.0,top
J12,90.805,-54.356,0.0,top
J13,68.326,-40.64,0.0,top
J14,68.326,-54.356,0.0,top
J15_C189893,74.995,-27.175,180.0,top
J16,61.595,-76.835,180.0,top
J17,111.825,-37.04,180.0,top
J18,111.825,-27.81,180.0,top
J19,100.265,-27.81,180.0,top
J2,78.88,-103.68,90.0,top
J20,76.94,-34.67,270.0,top
J21,112.0,-47.54,180.0,top
J22_C189893,85.66,-27.175,180.0,top
J23-C189893,112.0,-64.96,180.0,top
J3,77.1125,-78.98,90.0,top
J4,96.81,-75.87,0.0,top
J5,102.28,-65.66,0.0,top
J6,111.76,-96.52,270.0,top
J7,107.44,-77.68,90.0,top
J8,111.08,-77.64,90.0,top
J9,90.805,-40.64,0.0,top
R1,97.9625,-96.0,180.0,top
R2,97.9625,-92.0,0.0,top
